Metric,Value
Accuracy,0.9912
Macro_Precision,0.9913
Macro_Recall,0.9913
Macro_F1_Score,0.9913
MCC,0.9900
Class_1_Precision,1.0000
Class_1_Recall,0.9821
Class_1_F1_Score,0.9910
Class_2_Precision,0.9730
Class_2_Recall,1.0000
Class_2_F1_Score,0.9863
Class_3_Precision,0.9898
Class_3_Recall,1.0000
Class_3_F1_Score,0.9949
Class_4_Precision,1.0000
Class_4_Recall,1.0000
Class_4_F1_Score,1.0000
Class_5_Precision,1.0000
Class_5_Recall,1.0000
Class_5_F1_Score,1.0000
Class_6_Precision,0.9785
Class_6_Recall,0.9891
Class_6_F1_Score,0.9838
Class_7_Precision,1.0000
Class_7_Recall,1.0000
Class_7_F1_Score,1.0000
Class_8_Precision,0.9895
Class_8_Recall,0.9592
Class_8_F1_Score,0.9741
